캠페인 이름,캠페인 ID,기간,캠페인 목적,캠페인 예산,총비용,노출수,클릭수,평균 CPC,클릭률(%),구매완료 수,장바구니 담기 수,구매완료 전환매출액,장바구니 전환매출액,총 전환율(%),총 전환당비용,총 광고수익률(%),구매완료 광고수익률(%)
001. 요기보 _ 트래픽,700066,2024.08.31.,인지도 및 트래픽,10000000,22208,53213,93,239,0.17,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.30.,인지도 및 트래픽,10000000,21165,35516,64,331,0.18,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.27.,인지도 및 트래픽,10000000,1772,5978,10,177,0.17,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.26.,인지도 및 트래픽,10000000,534,7608,8,67,0.11,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.25.,인지도 및 트래픽,10000000,24136,50834,146,165,0.29,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.24.,인지도 및 트래픽,10000000,23306,53903,128,182,0.24,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.23.,인지도 및 트래픽,10000000,24993,105204,175,143,0.17,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.22.,인지도 및 트래픽,10000000,20078,133432,161,125,0.12,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.21.,인지도 및 트래픽,10000000,25969,110012,116,224,0.11,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.20.,인지도 및 트래픽,10000000,23653,111179,152,156,0.14,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.19.,인지도 및 트래픽,10000000,65100,282695,344,189,0.12,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.18.,인지도 및 트래픽,10000000,59408,127958,266,223,0.21,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.17.,인지도 및 트래픽,10000000,61867,122392,304,204,0.25,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.16.,인지도 및 트래픽,10000000,65867,153491,298,221,0.19,0,3,0,0,1.01,21956,0,0
001. 요기보 _ 트래픽,700066,2024.08.15.,인지도 및 트래픽,10000000,63750,60629,266,240,0.44,0,12,0,0,4.51,5313,0,0
001. 요기보 _ 트래픽,700066,2024.08.14.,인지도 및 트래픽,10000000,64591,24681,101,640,0.41,1,0,299000,0,0.99,64591,462.91,462.91
001. 요기보 _ 트래픽,700066,2024.08.12.,인지도 및 트래픽,10000000,83258,242691,377,221,0.16,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.11.,인지도 및 트래픽,10000000,86319,117311,367,235,0.31,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.10.,인지도 및 트래픽,10000000,82949,130056,327,254,0.25,0,0,0,0,0,0,0,0
001. 요기보 _ 트래픽,700066,2024.08.09.,인지도 및 트래픽,10000000,92811,48980,289,321,0.59,0,0,0,0,0,0,0,0
